,area,major_axis_length,minor_axis_length,centroid-0,centroid-1,orientation,eccentricity,label,perimeter,tiff_file,perimeter (um)
3114,88,37.884958640635396,12.34618385999428,384.46590909090907,63.92045454545455,0.40317612953063287,0.9454090161671624,197,83.08326112068524,/Users/scliu/Dropbox (Personal)/Academics/PhD_phase/Thomson_Lab/flow_paper/revision/MT_distribution/2022-Sep1_MTdist_Box1_7/2022-Sep1_MTdist_Box1_7_MMStack_Pos0.ome.tif,13.376405040430324
3115,9,10.34126658687644,1.8111950754612567,367.3333333333333,50.0,1.5192555225335465,0.9845430979546392,198,7.621320343559642,/Users/scliu/Dropbox (Personal)/Academics/PhD_phase/Thomson_Lab/flow_paper/revision/MT_distribution/2022-Sep1_MTdist_Box1_7/2022-Sep1_MTdist_Box1_7_MMStack_Pos0.ome.tif,1.2270325753131024
3116,9,12.176337461849036,1.6280006947435177,374.0,328.1111111111111,-0.5638884296800076,0.9910215813400272,201,8.863961030678928,/Users/scliu/Dropbox (Personal)/Academics/PhD_phase/Thomson_Lab/flow_paper/revision/MT_distribution/2022-Sep1_MTdist_Box1_7/2022-Sep1_MTdist_Box1_7_MMStack_Pos0.ome.tif,1.4270977259393074
3117,17,20.401943680292796,1.192306051372742,377.11764705882354,446.0,1.2882710899670757,0.998290875490089,203,16.86396103067893,/Users/scliu/Dropbox (Personal)/Academics/PhD_phase/Thomson_Lab/flow_paper/revision/MT_distribution/2022-Sep1_MTdist_Box1_7/2022-Sep1_MTdist_Box1_7_MMStack_Pos0.ome.tif,2.715097725939308
3118,3,4.618802153517006,0.0,377.0,11.0,0.7853981633974483,1.0,204,1.4142135623730951,/Users/scliu/Dropbox (Personal)/Academics/PhD_phase/Thomson_Lab/flow_paper/revision/MT_distribution/2022-Sep1_MTdist_Box1_7/2022-Sep1_MTdist_Box1_7_MMStack_Pos0.ome.tif,0.22768838354206833
3119,36,27.175843734138855,8.820819160996278,391.4166666666667,271.3333333333333,0.32428988410471943,0.9458571888952751,206,36.14213562373095,/Users/scliu/Dropbox (Personal)/Academics/PhD_phase/Thomson_Lab/flow_paper/revision/MT_distribution/2022-Sep1_MTdist_Box1_7/2022-Sep1_MTdist_Box1_7_MMStack_Pos0.ome.tif,5.818883835420683
3120,5,5.656854249492381,0.0,382.0,121.0,0.0,1.0,207,3.0,/Users/scliu/Dropbox (Personal)/Academics/PhD_phase/Thomson_Lab/flow_paper/revision/MT_distribution/2022-Sep1_MTdist_Box1_7/2022-Sep1_MTdist_Box1_7_MMStack_Pos0.ome.tif,0.483
3121,8,9.11470274793155,1.6346846230539556,383.875,91.0,0.9516812926468932,0.9837860773406691,208,7.449747468305834,/Users/scliu/Dropbox (Personal)/Academics/PhD_phase/Thomson_Lab/flow_paper/revision/MT_distribution/2022-Sep1_MTdist_Box1_7/2022-Sep1_MTdist_Box1_7_MMStack_Pos0.ome.tif,1.1994093423972392
3122,4,4.680205767201096,1.046744465787899,385.5,296.25,-0.30733147596108273,0.9746687158738291,212,2.2071067811865475,/Users/scliu/Dropbox (Personal)/Academics/PhD_phase/Thomson_Lab/flow_paper/revision/MT_distribution/2022-Sep1_MTdist_Box1_7/2022-Sep1_MTdist_Box1_7_MMStack_Pos0.ome.tif,0.35534419177103416
3123,14,15.3284160636182,2.7365380634020524,389.92857142857144,360.64285714285717,1.5273183469133256,0.9839349904043441,217,13.449747468305832,/Users/scliu/Dropbox (Personal)/Academics/PhD_phase/Thomson_Lab/flow_paper/revision/MT_distribution/2022-Sep1_MTdist_Box1_7/2022-Sep1_MTdist_Box1_7_MMStack_Pos0.ome.tif,2.165409342397239
3124,5,5.77331086475517,1.1085493488789315,396.0,289.8,0.2050636702707455,0.9813924293080768,222,3.2071067811865475,/Users/scliu/Dropbox (Personal)/Academics/PhD_phase/Thomson_Lab/flow_paper/revision/MT_distribution/2022-Sep1_MTdist_Box1_7/2022-Sep1_MTdist_Box1_7_MMStack_Pos0.ome.tif,0.5163441917710342
3125,17,23.43539946191641,1.3258320433300883,403.3529411764706,377.70588235294116,-0.8523421996637707,0.9983984141448901,225,19.349242404917497,/Users/scliu/Dropbox (Personal)/Academics/PhD_phase/Thomson_Lab/flow_paper/revision/MT_distribution/2022-Sep1_MTdist_Box1_7/2022-Sep1_MTdist_Box1_7_MMStack_Pos0.ome.tif,3.115228027191717
3126,6,7.6427440139158405,1.709326554841677,404.5,153.5,-0.47806668743636554,0.9746687158738291,228,5.242640687119286,/Users/scliu/Dropbox (Personal)/Academics/PhD_phase/Thomson_Lab/flow_paper/revision/MT_distribution/2022-Sep1_MTdist_Box1_7/2022-Sep1_MTdist_Box1_7_MMStack_Pos0.ome.tif,0.844065150626205
3127,14,15.891983137316407,2.5426915122594616,408.42857142857144,216.64285714285714,0.1613473215351558,0.9871172773776237,229,13.65685424949238,/Users/scliu/Dropbox (Personal)/Academics/PhD_phase/Thomson_Lab/flow_paper/revision/MT_distribution/2022-Sep1_MTdist_Box1_7/2022-Sep1_MTdist_Box1_7_MMStack_Pos0.ome.tif,2.198753534168273
3128,7,8.413821501811778,1.3028444473601355,410.0,274.42857142857144,0.31891504604172677,0.9879386598744101,230,5.621320343559642,/Users/scliu/Dropbox (Personal)/Academics/PhD_phase/Thomson_Lab/flow_paper/revision/MT_distribution/2022-Sep1_MTdist_Box1_7/2022-Sep1_MTdist_Box1_7_MMStack_Pos0.ome.tif,0.9050325753131023
3129,5,6.623160316948245,0.966306067455866,410.0,397.0,-0.5535743588970452,0.9892996329463545,232,3.82842712474619,/Users/scliu/Dropbox (Personal)/Academics/PhD_phase/Thomson_Lab/flow_paper/revision/MT_distribution/2022-Sep1_MTdist_Box1_7/2022-Sep1_MTdist_Box1_7_MMStack_Pos0.ome.tif,0.6163767670841366
3130,5,5.778087819183874,1.5664294282855342,414.0,184.6,-0.21331374656343804,0.962551684437236,235,4.035533905932738,/Users/scliu/Dropbox (Personal)/Academics/PhD_phase/Thomson_Lab/flow_paper/revision/MT_distribution/2022-Sep1_MTdist_Box1_7/2022-Sep1_MTdist_Box1_7_MMStack_Pos0.ome.tif,0.6497209588551708
3131,9,9.769513330131899,3.290625203612037,416.8888888888889,16.11111111111111,1.4409462586183592,0.9415669425604527,237,8.242640687119286,/Users/scliu/Dropbox (Personal)/Academics/PhD_phase/Thomson_Lab/flow_paper/revision/MT_distribution/2022-Sep1_MTdist_Box1_7/2022-Sep1_MTdist_Box1_7_MMStack_Pos0.ome.tif,1.327065150626205
3132,6,6.843317089743789,1.84153018749159,418.5,276.6666666666667,-0.06154297984750288,0.9631125046362172,238,4.82842712474619,/Users/scliu/Dropbox (Personal)/Academics/PhD_phase/Thomson_Lab/flow_paper/revision/MT_distribution/2022-Sep1_MTdist_Box1_7/2022-Sep1_MTdist_Box1_7_MMStack_Pos0.ome.tif,0.7773767670841366
3133,7,8.084583913746377,1.5993343266909816,427.0,164.42857142857142,-0.14772041857186,0.9802373157984943,241,6.035533905932737,/Users/scliu/Dropbox (Personal)/Academics/PhD_phase/Thomson_Lab/flow_paper/revision/MT_distribution/2022-Sep1_MTdist_Box1_7/2022-Sep1_MTdist_Box1_7_MMStack_Pos0.ome.tif,0.9717209588551706
3134,4,4.47213595499958,0.0,424.0,170.5,1.5707963267948966,1.0,242,2.0,/Users/scliu/Dropbox (Personal)/Academics/PhD_phase/Thomson_Lab/flow_paper/revision/MT_distribution/2022-Sep1_MTdist_Box1_7/2022-Sep1_MTdist_Box1_7_MMStack_Pos0.ome.tif,0.322
3135,8,9.482035477691502,1.446030151760226,427.5,205.5,0.2623978858250537,0.9883031493381144,243,6.621320343559642,/Users/scliu/Dropbox (Personal)/Academics/PhD_phase/Thomson_Lab/flow_paper/revision/MT_distribution/2022-Sep1_MTdist_Box1_7/2022-Sep1_MTdist_Box1_7_MMStack_Pos0.ome.tif,1.0660325753131024
3136,17,22.771546750507564,1.446836822223066,431.47058823529414,447.94117647058823,1.0043723133418845,0.997979480618833,244,18.727922061357855,/Users/scliu/Dropbox (Personal)/Academics/PhD_phase/Thomson_Lab/flow_paper/revision/MT_distribution/2022-Sep1_MTdist_Box1_7/2022-Sep1_MTdist_Box1_7_MMStack_Pos0.ome.tif,3.015195451878615
